No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,15.994,10.156,07-11-2024
2,Medellín,15.919,10.161,07-11-2024
3,Cali,16.004,10.277,07-11-2024
4,Barranquilla,15.649,9.844,07-11-2024
5,Cartagena,15.609,9.808,07-11-2024
6,Montería,15.859,10.058,07-11-2024
7,Bucaramanga,15.764,9.909,07-11-2024
8,Villavicencio,16.094,10.256,07-11-2024
9,Pereira,15.944,10.219,07-11-2024
10,Manizales,15.969,10.209,07-11-2024
11,Ibagué,15.915,10.141,07-11-2024
12,Pasto,13.726,9.148,07-11-2024
13,Cúcuta,14.053,7.841,07-11-2024
14,Santa Marta,15.749,9.944,07-11-2024
15,Sincelejo,15.809,10.008,07-11-2024
16,Tunja,16.128,10.290,07-11-2024
17,Armenia,15.956,10.231,07-11-2024
18,Neiva,16.016,10.237,07-11-2024
